model,layers,DL_median,DL_std,DL_<lambda_0>,DL_<lambda_1>,DL_<lambda_2>,JW_median,JW_std,JW_<lambda_0>,JW_<lambda_1>,JW_<lambda_2>,train_time_median,train_time_std,train_time_<lambda_0>,train_time_<lambda_1>,train_time_<lambda_2>,epochs_median,epochs_std,epochs_<lambda_0>,epochs_<lambda_1>,epochs_<lambda_2>,memory_median,memory_std,memory_<lambda_0>,memory_<lambda_1>,memory_<lambda_2>,time_per_epoch_median,time_per_epoch_std,time_per_epoch_<lambda_0>,time_per_epoch_<lambda_1>,time_per_epoch_<lambda_2>,test_accuracy_median,test_accuracy_std,test_accuracy_<lambda_0>,test_accuracy_<lambda_1>,test_accuracy_<lambda_2>
Transformer,1,0.78,0.165,0.758,0.77,0.82,0.514,0.129,0.49,0.489,0.525,2.551,0.833,2.255,2.55,2.551,2.0,0.666,1.762,2.0,2.0,76.01,3.061,75.822,75.153,76.868,1.276,0.012,1.282,1.276,1.277,1.0,0.0,1.0,1.0,1.0
Transformer,2,0.78,0.173,0.748,0.755,0.81,0.5,0.131,0.48,0.48,0.52,5.007,7.351,6.696,5.006,5.01,2.0,2.994,2.688,2.0,2.0,129.139,3.045,128.894,128.469,129.809,2.502,0.025,2.496,2.501,2.503,1.0,0.097,1.0,1.0,1.0
Transformer,3,0.775,0.149,0.75,0.75,0.81,0.507,0.107,0.483,0.47,0.52,12.933,39.328,37.549,7.46,49.556,3.5,10.747,10.225,2.0,13.0,181.268,3.197,181.29,180.411,182.125,3.695,0.032,3.696,3.67,3.723,1.0,0.379,0.686,0.524,1.0
GRU,1,0.63,0.129,0.617,0.58,0.67,0.252,0.09,0.251,0.238,0.267,31.576,33.521,38.947,29.603,34.156,109.5,116.287,133.2,103.0,117.0,24.045,3.049,23.829,23.223,24.866,0.285,0.022,0.297,0.283,0.295,0.529,0.264,0.625,0.515,0.548
GRU,2,0.64,0.129,0.617,0.58,0.67,0.237,0.091,0.237,0.231,0.252,31.374,96.175,68.902,29.954,35.145,53.5,161.429,115.375,51.0,59.0,25.59,3.053,25.347,24.735,26.378,0.579,0.038,0.605,0.578,0.597,0.8,0.247,0.781,0.718,0.965
GRU,3,0.66,0.134,0.615,0.58,0.68,0.235,0.093,0.227,0.201,0.245,37.217,165.412,119.525,35.129,41.72,44.0,195.109,139.912,41.5,47.0,27.101,3.052,26.862,26.247,27.89,0.838,0.051,0.862,0.832,0.843,0.994,0.244,0.888,0.989,0.997
LSTM,1,0.67,0.134,0.641,0.62,0.68,0.264,0.108,0.271,0.245,0.273,28.454,25.858,28.535,26.553,31.083,101.5,93.896,101.275,91.488,115.0,24.342,3.054,24.103,23.485,25.132,0.274,0.025,0.284,0.27,0.277,0.518,0.26,0.576,0.506,0.533
LSTM,2,0.68,0.137,0.644,0.64,0.68,0.267,0.113,0.271,0.253,0.275,33.108,45.726,42.763,30.98,36.528,59.0,81.006,73.4,55.5,62.0,26.357,3.056,26.124,25.567,27.147,0.563,0.037,0.587,0.562,0.579,0.623,0.277,0.721,0.573,0.764
LSTM,3,0.68,0.137,0.653,0.66,0.68,0.259,0.123,0.279,0.253,0.272,45.066,68.665,51.063,40.291,47.647,53.0,84.257,61.288,49.0,56.0,28.373,3.055,28.145,27.549,29.163,0.813,0.049,0.84,0.81,0.819,0.671,0.291,0.712,0.586,0.779
xLSTM,1,0.63,0.127,0.605,0.57,0.67,0.248,0.066,0.24,0.237,0.253,73.963,230.9,152.593,57.159,86.434,40.0,127.889,87.538,33.0,46.5,24.666,3.05,24.44,23.848,25.483,1.696,0.163,1.791,1.685,1.737,0.991,0.257,0.863,0.988,0.994
xLSTM,2,0.585,0.144,0.591,0.555,0.665,0.201,0.059,0.211,0.192,0.234,84.802,83.996,80.939,48.027,96.271,36.0,31.947,32.969,19.0,40.0,26.443,3.054,26.216,25.625,27.261,2.324,0.168,2.43,2.318,2.403,0.994,0.157,0.969,0.992,0.997
xLSTM,3,0.6,0.153,0.583,0.55,0.67,0.201,0.057,0.207,0.189,0.21,80.737,69.158,72.477,58.157,85.682,29.0,22.619,25.219,23.0,31.0,28.254,3.056,27.998,27.403,29.038,2.765,0.156,2.86,2.761,2.773,0.997,0.126,0.993,0.994,0.997
BERT,1,0.65,0.17,0.601,0.57,0.67,0.245,0.074,0.243,0.238,0.254,18.51,37.343,30.382,15.993,20.884,42.5,85.797,69.838,37.0,48.0,106.09,3.069,105.878,105.293,106.886,0.435,0.002,0.435,0.435,0.435,0.979,0.285,0.781,0.942,0.982
BERT,2,0.655,0.155,0.615,0.6,0.67,0.26,0.09,0.262,0.249,0.272,26.834,43.979,39.566,22.22,30.471,32.5,53.394,48.031,27.0,37.0,124.162,3.076,123.954,123.366,124.958,0.824,0.002,0.824,0.824,0.824,0.868,0.311,0.707,0.536,0.973
BERT,3,0.695,0.168,0.652,0.67,0.72,0.32,0.127,0.347,0.299,0.35,27.93,55.006,43.314,25.508,30.354,23.0,45.362,35.681,21.0,25.0,142.267,3.074,142.027,141.438,143.097,1.214,0.003,1.214,1.214,1.214,0.408,0.303,0.456,0.291,0.476
GPT,1,0.69,0.104,0.666,0.68,0.71,0.312,0.11,0.331,0.283,0.32,23.568,65.99,46.174,18.481,31.465,30.5,85.898,60.062,24.488,43.0,57.607,3.014,57.448,56.686,58.528,0.768,0.003,0.769,0.768,0.769,0.518,0.294,0.556,0.476,0.536
GPT,2,0.68,0.142,0.645,0.655,0.69,0.279,0.1,0.294,0.269,0.312,60.382,63.198,69.797,52.827,73.272,40.0,41.865,46.194,35.0,48.012,91.851,3.057,91.694,91.055,92.647,1.511,0.002,1.511,1.51,1.511,0.521,0.295,0.591,0.476,0.539
GPT,3,0.71,0.155,0.677,0.68,0.72,0.32,0.147,0.362,0.312,0.38,54.09,61.732,63.912,49.602,67.594,24.0,27.427,28.35,22.0,30.0,126.754,2.996,126.54,125.924,127.517,2.254,0.003,2.254,2.254,2.255,0.464,0.332,0.512,0.342,0.518
