model,layers,train_time_median,train_time_std,train_time_<lambda_0>,train_time_<lambda_1>,DL_median,DL_std,DL_<lambda_0>,DL_<lambda_1>,JW_median,JW_std,JW_<lambda_0>,JW_<lambda_1>,epochs_median,epochs_std,epochs_<lambda_0>,epochs_<lambda_1>,memory_median,memory_std,memory_<lambda_0>,memory_<lambda_1>,model_size_median,model_size_std,model_size_<lambda_0>,model_size_<lambda_1>,time_per_epoch_median,time_per_epoch_std,time_per_epoch_<lambda_0>,time_per_epoch_<lambda_1>,test_loss_median,test_loss_std,test_loss_<lambda_0>,test_loss_<lambda_1>,test_accuracy_median,test_accuracy_std,test_accuracy_<lambda_0>,test_accuracy_<lambda_1>
BERT,1,18.51,37.343,15.996,20.884,0.65,0.17,0.57,0.67,0.245,0.074,0.237,0.254,42.5,85.797,37.0,48.0,106.09,3.069,105.293,106.886,17.344,0.002,17.343,17.345,0.435,0.002,0.435,0.435,0.114,0.487,0.102,0.169,0.979,0.285,0.93,0.982
BERT,2,26.834,43.979,22.212,30.493,0.655,0.155,0.6,0.67,0.26,0.09,0.249,0.272,32.5,53.394,27.0,37.0,124.162,3.076,123.366,124.958,18.529,0.002,18.527,18.53,0.824,0.002,0.824,0.824,0.365,0.576,0.115,0.691,0.868,0.311,0.536,0.973
BERT,3,27.93,55.006,25.508,30.352,0.695,0.168,0.67,0.72,0.32,0.127,0.29,0.357,23.0,45.362,21.488,25.0,142.267,3.074,141.438,143.097,19.713,0.002,19.712,19.714,1.214,0.003,1.214,1.214,1.359,0.672,0.699,1.38,0.408,0.303,0.291,0.476
GPT,1,23.568,65.99,18.809,30.75,0.69,0.104,0.68,0.71,0.312,0.11,0.283,0.32,30.5,85.898,24.0,44.0,57.607,3.014,56.686,58.528,2.242,0.002,2.241,2.243,0.768,0.003,0.768,0.769,0.699,0.59,0.694,0.72,0.518,0.294,0.476,0.539
GPT,2,60.382,63.198,52.21,71.861,0.68,0.142,0.65,0.69,0.279,0.1,0.271,0.312,40.0,41.865,34.0,50.0,91.851,3.057,91.055,92.647,4.478,0.002,4.477,4.479,1.511,0.002,1.51,1.511,0.694,0.607,0.692,0.7,0.521,0.295,0.476,0.539
GPT,3,54.09,61.732,49.597,66.467,0.71,0.155,0.68,0.72,0.32,0.147,0.312,0.38,24.0,27.427,22.0,30.0,126.754,2.996,125.924,127.517,6.714,0.002,6.713,6.715,2.254,0.003,2.254,2.255,0.701,0.732,0.693,1.338,0.464,0.332,0.342,0.518
GRU,1,31.576,33.521,29.803,34.058,0.63,0.129,0.58,0.67,0.252,0.09,0.237,0.267,109.5,116.287,102.0,117.0,24.045,3.049,23.223,24.866,0.052,0.001,0.052,0.053,0.285,0.022,0.283,0.295,0.692,0.582,0.691,0.693,0.529,0.264,0.514,0.548
GRU,2,31.374,96.175,29.784,35.4,0.64,0.129,0.58,0.67,0.237,0.091,0.231,0.247,53.5,161.429,51.0,59.0,25.59,3.053,24.735,26.378,0.152,0.001,0.151,0.152,0.579,0.038,0.578,0.597,0.66,0.475,0.284,0.691,0.8,0.247,0.724,0.958
GRU,3,37.217,165.412,34.963,41.721,0.66,0.134,0.575,0.68,0.235,0.093,0.203,0.245,44.0,195.109,41.0,48.0,27.101,3.052,26.247,27.89,0.251,0.001,0.25,0.251,0.838,0.051,0.832,0.843,0.116,0.391,0.107,0.135,0.994,0.244,0.989,0.997
LSTM,1,28.454,25.858,26.386,31.049,0.67,0.134,0.62,0.68,0.264,0.108,0.245,0.272,101.5,93.896,91.0,114.5,24.342,3.054,23.485,25.132,0.07,0.001,0.069,0.07,0.274,0.025,0.27,0.277,0.693,0.563,0.692,1.111,0.518,0.26,0.505,0.533
