model,layers,DL_median,DL_std,DL_<lambda_0>,DL_<lambda_1>,DL_<lambda_2>,JW_median,JW_std,JW_<lambda_0>,JW_<lambda_1>,JW_<lambda_2>,train_time_median,train_time_std,train_time_<lambda_0>,train_time_<lambda_1>,train_time_<lambda_2>,epochs_median,epochs_std,epochs_<lambda_0>,epochs_<lambda_1>,epochs_<lambda_2>,memory_median,memory_std,memory_<lambda_0>,memory_<lambda_1>,memory_<lambda_2>,time_per_epoch_median,time_per_epoch_std,time_per_epoch_<lambda_0>,time_per_epoch_<lambda_1>,time_per_epoch_<lambda_2>,test_accuracy_median,test_accuracy_std,test_accuracy_<lambda_0>,test_accuracy_<lambda_1>,test_accuracy_<lambda_2>
Transformer,1,0.8,0.182,0.74,0.745,0.81,0.504,0.134,0.475,0.487,0.533,2.55,0.746,2.332,2.55,2.55,2.0,0.596,1.825,2.0,2.0,76.077,3.077,75.833,75.153,76.868,1.275,0.011,1.28,1.275,1.276,1.0,0.0,1.0,1.0,1.0
Transformer,2,0.79,0.196,0.729,0.735,0.8,0.487,0.142,0.467,0.471,0.516,5.006,8.974,7.324,5.005,5.009,2.0,3.652,2.944,2.0,2.0,129.206,3.056,128.918,128.536,129.809,2.5,0.021,2.493,2.5,2.501,1.0,0.054,1.0,1.0,1.0
Transformer,3,0.765,0.175,0.709,0.72,0.79,0.485,0.131,0.453,0.461,0.51,11.111,40.007,35.417,7.455,44.049,3.0,10.932,9.644,2.0,12.0,181.301,3.206,181.309,180.411,182.125,3.703,0.029,3.696,3.672,3.723,1.0,0.357,0.729,0.764,1.0
GRU,1,0.36,0.235,0.372,0.3,0.48,0.16,0.095,0.153,0.148,0.168,19.058,40.009,31.015,16.821,24.758,62.5,120.832,95.425,52.0,74.0,24.078,3.074,23.844,23.223,24.866,0.323,0.017,0.325,0.323,0.324,0.967,0.184,0.878,0.905,0.997
GRU,2,0.255,0.234,0.305,0.22,0.325,0.159,0.072,0.136,0.148,0.163,30.736,53.324,46.437,26.263,34.759,45.0,80.902,71.788,41.5,54.5,25.656,3.074,25.367,24.735,26.378,0.649,0.032,0.652,0.648,0.65,1.0,0.117,0.98,1.0,1.0
GRU,3,0.22,0.228,0.285,0.22,0.3,0.148,0.069,0.133,0.147,0.16,34.522,75.85,65.463,27.439,44.103,37.5,82.27,70.438,30.0,47.0,27.101,3.07,26.873,26.247,27.89,0.926,0.041,0.929,0.925,0.927,1.0,0.054,0.995,1.0,1.0
LSTM,1,0.44,0.244,0.416,0.385,0.51,0.176,0.099,0.169,0.162,0.187,19.663,23.046,26.055,17.343,23.723,62.0,72.984,83.888,57.0,76.0,24.375,3.077,24.117,23.518,25.132,0.314,0.017,0.313,0.313,0.315,0.764,0.214,0.778,0.717,0.812
LSTM,2,0.34,0.247,0.364,0.27,0.44,0.167,0.087,0.151,0.155,0.173,31.034,36.799,41.597,24.258,41.71,47.0,58.848,66.694,39.0,65.512,26.424,3.075,26.146,25.5,27.147,0.632,0.031,0.63,0.63,0.633,0.985,0.162,0.916,0.967,1.0
LSTM,3,0.33,0.24,0.345,0.28,0.38,0.159,0.087,0.144,0.148,0.167,40.445,62.98,63.55,33.808,54.356,47.0,69.633,71.269,36.0,59.5,28.373,3.078,28.155,27.516,29.163,0.894,0.038,0.898,0.892,0.896,0.994,0.136,0.96,0.985,1.0
xLSTM,1,0.32,0.206,0.337,0.28,0.36,0.152,0.071,0.142,0.144,0.162,63.802,194.416,93.796,44.689,89.999,35.5,109.759,47.944,22.0,47.0,24.699,3.066,24.452,23.848,25.483,1.998,0.132,1.983,1.988,2.008,0.988,0.093,0.985,0.985,0.991
xLSTM,2,0.28,0.217,0.299,0.22,0.31,0.148,0.065,0.134,0.139,0.159,28.427,44.741,32.269,19.195,35.627,11.0,17.057,12.456,7.5,14.0,26.543,3.07,26.244,25.625,27.261,2.638,0.143,2.627,2.627,2.654,1.0,0.015,0.992,0.994,1.0
xLSTM,3,0.23,0.223,0.288,0.22,0.295,0.148,0.065,0.132,0.138,0.159,27.372,31.747,26.437,16.544,31.351,9.0,10.344,8.694,6.0,10.0,28.254,3.065,28.018,27.403,29.038,3.079,0.127,3.065,3.068,3.094,1.0,0.016,0.995,1.0,1.0
BERT,1,0.225,0.233,0.273,0.21,0.28,0.148,0.067,0.128,0.138,0.158,10.224,15.073,11.674,7.399,11.315,23.5,34.634,26.812,17.5,26.0,106.123,3.093,105.902,105.293,106.952,0.435,0.004,0.436,0.435,0.436,0.997,0.121,0.989,0.988,1.0
BERT,2,0.235,0.233,0.283,0.22,0.28,0.156,0.074,0.134,0.148,0.163,16.488,22.205,20.177,14.824,19.791,20.0,26.988,24.475,18.0,24.012,124.228,3.096,123.983,123.366,125.024,0.824,0.004,0.824,0.824,0.824,1.0,0.158,0.969,0.991,1.0
BERT,3,0.28,0.269,0.344,0.23,0.44,0.167,0.14,0.17,0.16,0.17,30.363,27.463,33.701,27.899,32.832,25.0,22.666,27.762,23.0,27.0,142.267,3.089,142.045,141.438,143.097,1.214,0.003,1.214,1.213,1.214,0.985,0.284,0.844,0.973,0.988
GPT,1,0.31,0.236,0.338,0.245,0.42,0.168,0.094,0.159,0.159,0.173,20.769,24.354,23.217,17.637,23.84,27.0,31.742,30.219,23.0,31.0,57.674,3.047,57.47,56.686,58.595,0.768,0.004,0.768,0.767,0.768,0.988,0.185,0.931,0.985,0.991
GPT,2,0.28,0.238,0.316,0.24,0.32,0.165,0.089,0.144,0.158,0.168,28.716,43.253,32.278,24.209,33.231,19.0,28.632,21.35,17.0,22.0,91.951,3.081,91.726,91.055,92.714,1.512,0.007,1.513,1.512,1.512,0.973,0.192,0.916,0.973,0.982
GPT,3,0.315,0.264,0.372,0.265,0.44,0.168,0.149,0.179,0.161,0.178,38.376,55.596,41.204,36.052,42.8,17.0,24.681,18.269,16.0,19.0,126.787,3.014,126.561,125.924,127.517,2.256,0.009,2.257,2.255,2.257,0.97,0.287,0.822,0.961,0.976
