model,layers,train_time_median,train_time_std,train_time_<lambda_0>,train_time_<lambda_1>,DL_median,DL_std,DL_<lambda_0>,DL_<lambda_1>,JW_median,JW_std,JW_<lambda_0>,JW_<lambda_1>,epochs_median,epochs_std,epochs_<lambda_0>,epochs_<lambda_1>,memory_median,memory_std,memory_<lambda_0>,memory_<lambda_1>,model_size_median,model_size_std,model_size_<lambda_0>,model_size_<lambda_1>,time_per_epoch_median,time_per_epoch_std,time_per_epoch_<lambda_0>,time_per_epoch_<lambda_1>,test_loss_median,test_loss_std,test_loss_<lambda_0>,test_loss_<lambda_1>,test_accuracy_median,test_accuracy_std,test_accuracy_<lambda_0>,test_accuracy_<lambda_1>
BERT,1,10.224,15.073,7.618,11.321,0.225,0.233,0.21,0.28,0.148,0.067,0.136,0.158,23.5,34.634,17.5,26.0,106.123,3.093,105.293,106.952,17.344,0.002,17.343,17.345,0.435,0.004,0.435,0.436,0.077,0.188,0.071,0.082,0.997,0.121,0.988,1.0
BERT,2,16.488,22.205,14.424,19.778,0.235,0.233,0.22,0.28,0.156,0.074,0.147,0.163,20.0,26.988,17.5,24.0,124.228,3.096,123.366,125.024,18.529,0.002,18.527,18.53,0.824,0.004,0.824,0.824,0.077,0.415,0.062,0.083,1.0,0.158,0.991,1.0
BERT,3,30.363,27.463,27.905,32.759,0.28,0.269,0.23,0.44,0.167,0.14,0.16,0.17,25.0,22.666,23.0,27.0,142.267,3.089,141.438,143.097,19.713,0.002,19.712,19.714,1.214,0.003,1.213,1.214,0.084,0.582,0.077,0.088,0.985,0.284,0.973,0.988
GPT,1,20.769,24.354,17.639,23.855,0.31,0.236,0.24,0.42,0.168,0.094,0.16,0.173,27.0,31.742,23.0,31.0,57.674,3.047,56.686,58.595,2.242,0.002,2.241,2.243,0.768,0.004,0.767,0.768,0.09,0.286,0.086,0.094,0.988,0.185,0.985,0.991
GPT,2,28.716,43.253,24.221,33.231,0.28,0.238,0.24,0.32,0.165,0.089,0.158,0.169,19.0,28.632,16.5,22.0,91.951,3.081,91.055,92.714,4.478,0.002,4.477,4.479,1.512,0.007,1.512,1.512,0.083,0.375,0.078,0.089,0.973,0.192,0.973,0.982
GPT,3,38.376,55.596,36.052,42.803,0.315,0.264,0.265,0.44,0.168,0.149,0.162,0.179,17.0,24.681,16.0,19.0,126.787,3.014,125.924,127.55,6.714,0.002,6.713,6.715,2.256,0.009,2.255,2.257,0.09,0.584,0.085,0.096,0.97,0.287,0.965,0.976
GRU,1,19.058,40.009,16.822,24.336,0.36,0.235,0.295,0.49,0.16,0.095,0.148,0.168,62.5,120.832,51.5,74.5,24.078,3.074,23.223,24.866,0.052,0.001,0.052,0.053,0.323,0.017,0.323,0.324,0.232,0.37,0.104,0.373,0.967,0.184,0.903,1.0
GRU,2,30.736,53.324,25.911,34.765,0.255,0.234,0.22,0.33,0.159,0.072,0.148,0.16,45.0,80.902,41.5,55.5,25.656,3.074,24.735,26.378,0.152,0.001,0.151,0.152,0.649,0.032,0.648,0.65,0.097,0.201,0.095,0.098,1.0,0.117,1.0,1.0
GRU,3,34.522,75.85,28.108,45.16,0.22,0.228,0.22,0.3,0.148,0.069,0.147,0.16,37.5,82.27,30.0,47.0,27.101,3.07,26.247,27.89,0.251,0.001,0.25,0.251,0.926,0.041,0.925,0.927,0.095,0.086,0.093,0.097,1.0,0.054,1.0,1.0
LSTM,1,19.663,23.046,17.686,24.093,0.44,0.244,0.375,0.51,0.176,0.099,0.165,0.187,62.0,72.984,57.0,77.012,24.375,3.077,23.518,25.132,0.07,0.001,0.069,0.07,0.314,0.017,0.313,0.315,0.581,0.465,0.458,0.644,0.764,0.214,0.694,0.812
