model,layers,DL_median,DL_std,DL_<lambda_0>,DL_<lambda_1>,DL_<lambda_2>,JW_median,JW_std,JW_<lambda_0>,JW_<lambda_1>,JW_<lambda_2>,train_time_median,train_time_std,train_time_<lambda_0>,train_time_<lambda_1>,train_time_<lambda_2>,epochs_median,epochs_std,epochs_<lambda_0>,epochs_<lambda_1>,epochs_<lambda_2>,memory_median,memory_std,memory_<lambda_0>,memory_<lambda_1>,memory_<lambda_2>,time_per_epoch_median,time_per_epoch_std,time_per_epoch_<lambda_0>,time_per_epoch_<lambda_1>,time_per_epoch_<lambda_2>,test_accuracy_median,test_accuracy_std,test_accuracy_<lambda_0>,test_accuracy_<lambda_1>,test_accuracy_<lambda_2>
Transformer,1,0.79,0.169,0.734,0.765,0.8,0.507,0.119,0.464,0.48,0.513,2.552,1.387,2.919,2.551,2.554,2.0,0.814,1.806,2.0,2.0,76.01,3.062,75.822,75.153,76.868,1.3,0.431,1.553,1.299,1.3,1.0,0.0,1.0,1.0,1.0
Transformer,2,0.77,0.182,0.73,0.76,0.8,0.502,0.14,0.459,0.477,0.513,8.476,8.813,8.125,7.457,8.499,2.0,3.279,2.7,2.0,2.0,129.139,3.062,128.835,128.469,129.809,2.502,0.776,2.942,2.502,2.546,1.0,0.093,1.0,1.0,1.0
Transformer,3,0.77,0.162,0.735,0.765,0.8,0.507,0.111,0.468,0.48,0.513,19.188,52.08,44.681,12.609,53.154,4.0,11.354,10.388,2.0,13.0,181.268,3.203,181.292,180.411,182.125,3.725,1.188,4.472,3.725,3.726,1.0,0.37,0.706,0.545,1.0
GRU,1,0.62,0.13,0.59,0.57,0.63,0.213,0.067,0.222,0.206,0.223,28.736,36.324,39.528,25.557,31.074,91.0,113.537,127.425,84.0,100.5,24.078,3.054,23.828,23.223,24.866,0.321,0.024,0.311,0.303,0.324,0.565,0.24,0.675,0.538,0.617
GRU,2,0.605,0.143,0.58,0.57,0.63,0.202,0.061,0.192,0.189,0.203,32.396,81.889,75.667,27.723,49.657,53.5,128.073,120.356,44.0,77.5,25.59,3.059,25.343,24.735,26.378,0.648,0.035,0.631,0.641,0.651,0.971,0.202,0.875,0.924,0.988
GRU,3,0.605,0.142,0.588,0.57,0.63,0.202,0.066,0.188,0.189,0.203,41.634,131.894,115.128,34.179,51.722,45.0,146.372,127.919,38.0,59.5,27.101,3.059,26.858,26.247,27.89,0.921,0.044,0.898,0.916,0.922,0.998,0.181,0.959,0.997,1.0
LSTM,1,0.62,0.14,0.611,0.58,0.65,0.217,0.08,0.226,0.206,0.229,26.534,22.177,31.537,24.352,29.856,89.0,74.307,105.275,81.0,99.0,24.342,3.059,24.098,23.485,25.132,0.313,0.028,0.3,0.279,0.316,0.558,0.249,0.64,0.535,0.588
LSTM,2,0.65,0.149,0.619,0.62,0.66,0.206,0.09,0.213,0.203,0.218,33.447,53.168,52.974,30.663,38.956,54.0,86.871,87.2,51.0,62.0,26.357,3.063,26.122,25.5,27.147,0.629,0.035,0.611,0.62,0.632,0.853,0.24,0.813,0.777,0.942
LSTM,3,0.65,0.151,0.624,0.63,0.69,0.206,0.101,0.221,0.203,0.228,46.162,75.581,72.725,42.68,49.883,52.0,85.99,83.631,48.0,54.5,28.373,3.063,28.139,27.516,29.163,0.897,0.045,0.877,0.888,0.9,0.905,0.258,0.821,0.827,0.976
xLSTM,1,0.615,0.133,0.59,0.57,0.63,0.202,0.054,0.199,0.192,0.203,66.056,230.01,186.874,61.879,84.802,31.5,105.884,78.725,26.0,36.0,24.666,3.051,24.441,23.848,25.483,1.985,0.692,2.247,1.976,1.999,0.991,0.19,0.926,0.988,0.991
xLSTM,2,0.59,0.158,0.562,0.56,0.63,0.18,0.056,0.173,0.164,0.194,78.164,85.388,76.513,64.123,94.906,27.5,33.937,25.412,23.988,31.0,26.476,3.059,26.219,25.625,27.261,2.622,0.93,3.017,2.603,2.64,0.994,0.084,0.991,0.991,0.995
xLSTM,3,0.595,0.157,0.563,0.56,0.63,0.18,0.055,0.174,0.165,0.202,65.853,54.565,67.214,54.974,73.148,20.0,17.571,18.125,18.0,22.0,28.254,3.057,27.998,27.403,29.038,3.063,1.165,3.672,3.052,3.088,0.997,0.063,0.994,0.994,0.998
BERT,1,0.625,0.189,0.581,0.57,0.64,0.202,0.056,0.197,0.197,0.203,22.35,33.552,32.187,19.178,28.514,41.5,65.406,60.331,38.0,58.0,106.09,3.075,105.876,105.293,106.886,0.436,0.14,0.524,0.435,0.441,0.982,0.219,0.883,0.976,0.985
BERT,2,0.63,0.159,0.598,0.57,0.635,0.208,0.065,0.213,0.203,0.213,31.817,46.201,46.256,28.129,37.836,32.0,46.476,45.819,29.0,39.0,124.195,3.079,123.949,123.366,124.958,0.824,0.26,0.975,0.824,0.825,0.979,0.254,0.845,0.973,0.982
BERT,3,0.66,0.185,0.625,0.64,0.68,0.24,0.118,0.265,0.228,0.276,54.703,65.504,69.23,40.001,65.611,33.5,38.049,44.425,29.0,42.0,142.267,3.083,142.025,141.438,143.03,1.214,0.385,1.464,1.213,1.216,0.527,0.312,0.639,0.514,0.667
GPT,1,0.64,0.108,0.631,0.63,0.66,0.234,0.097,0.252,0.225,0.266,62.977,60.539,63.634,49.69,74.192,60.5,62.392,65.812,50.0,71.5,57.732,3.02,57.461,56.686,58.528,0.769,0.256,0.928,0.768,0.772,0.883,0.267,0.76,0.701,0.968
GPT,2,0.63,0.137,0.612,0.59,0.65,0.23,0.077,0.238,0.215,0.241,72.405,50.623,80.295,67.164,81.551,40.0,30.436,43.65,37.488,44.0,91.885,3.06,91.69,91.055,92.647,1.511,0.484,1.797,1.51,1.512,0.918,0.268,0.754,0.582,0.965
GPT,3,0.68,0.176,0.653,0.65,0.69,0.287,0.155,0.318,0.271,0.304,72.036,49.137,78.84,66.342,76.515,26.0,20.507,27.731,24.0,27.0,126.754,3.004,126.534,125.924,127.517,2.254,0.726,2.732,2.253,2.256,0.52,0.336,0.581,0.494,0.547
