model,layers,train_time_median,train_time_std,train_time_<lambda_0>,train_time_<lambda_1>,DL_median,DL_std,DL_<lambda_0>,DL_<lambda_1>,JW_median,JW_std,JW_<lambda_0>,JW_<lambda_1>,epochs_median,epochs_std,epochs_<lambda_0>,epochs_<lambda_1>,memory_median,memory_std,memory_<lambda_0>,memory_<lambda_1>,model_size_median,model_size_std,model_size_<lambda_0>,model_size_<lambda_1>,time_per_epoch_median,time_per_epoch_std,time_per_epoch_<lambda_0>,time_per_epoch_<lambda_1>,test_loss_median,test_loss_std,test_loss_<lambda_0>,test_loss_<lambda_1>,test_accuracy_median,test_accuracy_std,test_accuracy_<lambda_0>,test_accuracy_<lambda_1>
BERT,1,22.35,33.552,19.176,28.542,0.625,0.189,0.57,0.64,0.202,0.056,0.197,0.203,41.5,65.406,37.975,58.5,106.09,3.075,105.293,106.886,17.344,0.002,17.343,17.345,0.436,0.14,0.435,0.441,0.093,0.308,0.09,0.098,0.982,0.219,0.976,0.985
BERT,2,31.817,46.201,28.279,37.014,0.63,0.159,0.57,0.64,0.208,0.065,0.203,0.213,32.0,46.476,29.0,39.0,124.195,3.079,123.366,124.958,18.529,0.002,18.527,18.53,0.824,0.26,0.824,0.825,0.092,0.408,0.087,0.099,0.979,0.254,0.973,0.982
BERT,3,54.703,65.504,36.369,65.751,0.66,0.185,0.64,0.68,0.24,0.118,0.228,0.275,33.5,38.049,29.0,41.512,142.267,3.083,141.438,143.03,19.713,0.002,19.712,19.714,1.214,0.385,1.213,1.216,0.693,0.622,0.69,0.696,0.527,0.312,0.512,0.639
GPT,1,62.977,60.539,49.692,73.679,0.64,0.108,0.63,0.66,0.234,0.097,0.224,0.254,60.5,62.392,49.975,71.0,57.732,3.02,56.686,58.528,2.242,0.002,2.241,2.243,0.769,0.256,0.768,0.772,0.367,0.463,0.127,0.688,0.883,0.267,0.706,0.97
GPT,2,72.405,50.623,67.173,86.015,0.63,0.137,0.59,0.65,0.23,0.077,0.215,0.241,40.0,30.436,37.0,44.0,91.885,3.06,91.055,92.647,4.478,0.002,4.477,4.479,1.511,0.484,1.51,1.512,0.207,0.506,0.118,0.687,0.918,0.268,0.582,0.965
GPT,3,72.036,49.137,65.292,76.533,0.68,0.176,0.65,0.69,0.287,0.155,0.271,0.304,26.0,20.507,24.0,27.0,126.754,3.004,125.924,127.517,6.714,0.002,6.713,6.715,2.254,0.726,2.253,2.256,0.693,0.738,0.691,0.697,0.52,0.336,0.5,0.548
GRU,1,28.736,36.324,26.213,31.001,0.62,0.13,0.57,0.63,0.213,0.067,0.206,0.222,91.0,113.537,83.988,99.5,24.078,3.054,23.223,24.866,0.052,0.001,0.052,0.053,0.321,0.024,0.303,0.324,0.692,0.582,0.69,0.697,0.565,0.24,0.536,0.624
GRU,2,32.396,81.889,27.722,49.941,0.605,0.143,0.57,0.63,0.202,0.061,0.189,0.204,53.5,128.073,44.0,77.5,25.59,3.059,24.735,26.378,0.152,0.001,0.151,0.152,0.648,0.035,0.637,0.651,0.216,0.37,0.108,0.358,0.971,0.202,0.929,0.988
GRU,3,41.634,131.894,34.177,51.749,0.605,0.142,0.57,0.63,0.202,0.066,0.189,0.203,45.0,146.372,38.0,60.0,27.101,3.059,26.247,27.89,0.251,0.001,0.25,0.251,0.921,0.044,0.914,0.922,0.098,0.287,0.095,0.102,0.998,0.181,0.997,1.0
LSTM,1,26.534,22.177,24.487,29.856,0.62,0.14,0.575,0.65,0.217,0.08,0.206,0.229,89.0,74.307,81.0,99.0,24.342,3.059,23.485,25.132,0.07,0.001,0.069,0.07,0.313,0.028,0.279,0.316,0.694,0.531,0.69,0.788,0.558,0.249,0.533,0.589
