symbols,complexity,sequence_length,learning_rate,layers,units,run,model,train_time,DL,JW,epochs,memory,model_size,time_per_epoch,test_loss,test_accuracy
4,250,3500,0.001,1,128,0,LSTM,11.647328615188599,0.59,0.30339130434782613,37,23.55126953125,0.069124,0.31479266527536753,1.3302679061889648,0.3333333333333333
4,250,3500,0.001,1,128,0,GRU,30.79686951637268,0.53,0.17569892473118276,94,23.22314453125,0.051972,0.3276262714507732,0.42098258435726166,0.8606060606060606
4,250,3500,0.001,1,128,0,xLSTM,88.27914571762085,0.53,0.17355311355311354,44,23.84814453125,0.092932,2.0063442208550195,0.0711337961256504,0.9939393939393939
4,250,3500,0.001,1,128,0,Transformer,1.2995834350585938,0.78,0.52,1,75.15283203125,3.427076,1.2995834350585938,0.02130800485610962,1.0
4,250,3500,0.001,1,128,0,BERT,36.07310891151428,0.57,0.16056737588652492,83,105.29345703125,17.343108,0.43461577001824436,0.08996793255209923,0.9757575757575757
4,250,3500,0.001,1,128,0,GPT,13.080170154571533,0.63,0.35629787234042554,17,56.68603515625,2.240644,0.7694217737983254,1.400725781917572,0.27575757575757576
4,250,3500,0.001,1,128,1,LSTM,30.64037036895752,0.54,0.12624742268041245,97,23.55126953125,0.069124,0.3158801068964693,1.3675729036331177,0.28484848484848485
4,250,3500,0.001,1,128,1,GRU,37.84302353858948,0.55,0.17652173913043478,116,23.22314453125,0.051972,0.32623296153956444,0.10383434593677521,0.9939393939393939
4,250,3500,0.001,1,128,1,xLSTM,85.43213605880737,0.52,0.1712056737588652,43,23.84814453125,0.092932,1.9867938618327297,0.07718421891331673,0.9787878787878788
4,250,3500,0.001,1,128,1,Transformer,2.5514979362487793,0.72,0.48,2,75.15283203125,3.427076,1.2757489681243896,0.09716947749257088,1.0
4,250,3500,0.001,1,128,1,BERT,36.06741285324097,0.51,0.18286738351254472,83,105.29345703125,17.343108,0.4345471428101321,0.055589787662029266,0.9939393939393939
4,250,3500,0.001,1,128,1,GPT,17.977342128753662,0.72,0.48,23,56.61962890625,2.240644,0.7816235708153766,1.388974905014038,0.2606060606060606
4,250,3500,0.001,1,128,2,LSTM,23.985963821411133,0.52,0.20958139534883724,77,23.48486328125,0.069124,0.31150602365469005,1.3170615434646606,0.37272727272727274
4,250,3500,0.001,1,128,2,GRU,35.01842260360718,0.51,0.18286738351254472,109,23.22314453125,0.051972,0.3212699321431851,0.08534752205014229,0.996969696969697
4,250,3500,0.001,1,128,2,xLSTM,92.31719851493835,0.52,0.18376811594202902,46,23.84814453125,0.092932,2.0068956198899643,0.05127707123756409,0.996969696969697
4,250,3500,0.001,1,128,2,Transformer,2.5506553649902344,0.78,0.52,2,75.15283203125,3.427076,1.2753276824951172,0.0021169763058423996,1.0
4,250,3500,0.001,1,128,2,BERT,5.23090672492981,0.41,0.20544061302681993,12,105.29345703125,17.343108,0.4359088937441508,1.413093388080597,0.2727272727272727
4,250,3500,0.001,1,128,2,GPT,12.285097122192383,0.75,0.5,16,56.68603515625,2.240644,0.7678185701370239,1.3962286710739136,0.26666666666666666
4,250,3500,0.001,1,128,3,LSTM,35.85570430755615,0.54,0.1676595744680851,120,23.55126953125,0.069124,0.29879753589630126,0.08658481389284134,1.0
4,250,3500,0.001,1,128,3,GRU,40.27922034263611,0.51,0.18286738351254472,124,23.22314453125,0.051972,0.32483242211803315,0.09387487173080444,0.990909090909091
4,250,3500,0.001,1,128,3,xLSTM,87.85846328735352,0.55,0.1918681318681319,44,23.84814453125,0.092932,1.9967832565307617,0.0780668556690216,0.9878787878787879
4,250,3500,0.001,1,128,3,Transformer,3.80041766166687,0.78,0.52,3,75.15283203125,3.427076,1.26680588722229,0.0017522293492220342,1.0
4,250,3500,0.001,1,128,3,BERT,8.70371961593628,0.44,0.20927203065134103,20,105.29345703125,17.343108,0.435185980796814,1.3815116882324219,0.2909090909090909
4,250,3500,0.001,1,128,3,GPT,18.55751347541809,0.75,0.5,24,56.61962890625,2.240644,0.7732297281424204,1.4018046855926514,0.26666666666666666
4,250,3500,0.001,1,128,4,LSTM,16.03569269180298,0.58,0.2583333333333333,65,23.48486328125,0.069124,0.2467029644892766,1.0685632824897766,0.5424242424242425
4,250,3500,0.001,1,128,4,GRU,42.049482107162476,0.51,0.1782978723404255,136,23.22314453125,0.051972,0.3091873684350182,0.09393515437841415,0.996969696969697
4,250,3500,0.001,1,128,4,xLSTM,88.12817645072937,0.55,0.164113475177305,44,23.84814453125,0.092932,2.00291310115294,0.07852154597640038,0.9939393939393939
4,250,3500,0.001,1,128,4,Transformer,2.5506396293640137,0.78,0.52,2,75.15283203125,3.427076,1.2753198146820068,0.04616117849946022,1.0
4,250,3500,0.001,1,128,4,BERT,35.640610694885254,0.56,0.1962962962962962,82,105.29345703125,17.343108,0.43464159384006407,0.07795074582099915,0.9727272727272728
4,250,3500,0.001,1,128,4,GPT,13.050247430801392,0.74,0.45553846153846145,17,56.68603515625,2.240644,0.7676616135765525,1.4012966752052307,0.2636363636363636
4,250,3500,0.0001,1,128,0,LSTM,102.39930391311646,0.57,0.20961240310077522,325,23.48486328125,0.069124,0.31507478127112754,1.1816916465759277,0.47878787878787876
4,250,3500,0.0001,1,128,0,GRU,125.43012857437134,0.53,0.16056737588652492,385,23.22314453125,0.051972,0.3257925417516139,1.216544270515442,0.46060606060606063
4,250,3500,0.0001,1,128,0,xLSTM,1088.7731654644012,0.51,0.17289855072463778,545,23.84814453125,0.092932,1.997748927457617,0.08418019860982895,0.9878787878787879
4,250,3500,0.0001,1,128,0,Transformer,2.5508310794830322,0.78,0.54,2,75.15283203125,3.427076,1.2754155397415161,0.006000245222821832,1.0
4,250,3500,0.0001,1,128,0,BERT,17.389278411865234,0.37,0.15702127659574472,40,105.29345703125,17.343108,0.43473196029663086,1.3957635164260864,0.29393939393939394
4,250,3500,0.0001,1,128,0,GPT,8.456154584884644,0.63,0.35629787234042554,11,56.68603515625,2.240644,0.768741325898604,1.388264536857605,0.27575757575757576
4,250,3500,0.0001,1,128,1,LSTM,74.07000279426575,0.56,0.18489655172413788,235,23.48486328125,0.069124,0.3151915012521947,1.291381597518921,0.36666666666666664
4,250,3500,0.0001,1,128,1,GRU,99.8143560886383,0.55,0.33318749999999997,310,23.22314453125,0.051972,0.32198179383431713,1.243157148361206,0.3696969696969697
4,250,3500,0.0001,1,128,1,xLSTM,965.4773905277252,0.57,0.20441947565543073,485,23.84814453125,0.092932,1.9906750320159283,0.06963673233985901,1.0
4,250,3500,0.0001,1,128,1,Transformer,2.550971746444702,0.78,0.54,2,75.15283203125,3.427076,1.275485873222351,0.0056718941777944565,1.0
4,250,3500,0.0001,1,128,1,BERT,10.442739009857178,0.35,0.149122807017544,24,105.29345703125,17.343108,0.43511412541071576,1.3819863200187683,0.2909090909090909
4,250,3500,0.0001,1,128,1,GPT,15.34470534324646,0.64,0.35629787234042554,20,56.68603515625,2.240644,0.767235267162323,1.3962821960449219,0.27575757575757576
4,250,3500,0.0001,1,128,2,LSTM,106.29249024391174,0.57,0.20500000000000007,339,23.48486328125,0.069124,0.31354716886109657,1.1112821698188782,0.47878787878787876
4,250,3500,0.0001,1,128,2,GRU,92.15314602851868,0.59,0.15886956521739126,285,23.22314453125,0.051972,0.3233443720298901,1.2367048263549805,0.403030303030303
4,250,3500,0.0001,1,128,2,xLSTM,122.35555458068848,0.53,0.16938461538461547,61,23.84814453125,0.092932,2.005828763617844,1.3270240426063538,0.36666666666666664
4,250,3500,0.0001,1,128,2,Transformer,2.555875301361084,0.78,0.52,2,75.15283203125,3.427076,1.277937650680542,0.005627901293337345,1.0
4,250,3500,0.0001,1,128,2,BERT,13.044637203216553,0.42,0.14131914893617026,30,105.29345703125,17.343108,0.4348212401072184,1.379116177558899,0.3090909090909091
4,250,3500,0.0001,1,128,2,GPT,15.392562627792358,0.75,0.5,20,56.68603515625,2.240644,0.7696281313896179,1.388396978378296,0.2727272727272727
4,250,3500,0.0001,1,128,3,LSTM,37.32235932350159,0.55,0.1958823529411765,119,23.55126953125,0.069124,0.31363327162606375,1.343725323677063,0.32727272727272727
4,250,3500,0.0001,1,128,3,GRU,79.36388158798218,0.56,0.19235294117647062,246,23.22314453125,0.051972,0.3226174048291958,1.233761966228485,0.4212121212121212
4,250,3500,0.0001,1,128,3,xLSTM,1069.0868077278137,0.57,0.18286738351254472,535,23.84814453125,0.092932,1.9982930985566612,0.08056781440973282,0.990909090909091
4,250,3500,0.0001,1,128,3,Transformer,2.550565004348755,0.78,0.4542028985507246,2,75.15283203125,3.427076,1.2752825021743774,0.005303587764501572,1.0
4,250,3500,0.0001,1,128,3,BERT,11.768538236618042,0.42,0.17928315412186369,27,105.29345703125,17.343108,0.43587178654140896,1.385887622833252,0.28484848484848485
4,250,3500,0.0001,1,128,3,GPT,13.847268342971802,0.75,0.5,18,56.68603515625,2.240644,0.7692926857206557,1.4009575843811035,0.26666666666666666
4,250,3500,0.0001,1,128,4,LSTM,40.18940305709839,0.62,0.26473972602739726,126,23.48486328125,0.069124,0.3189635163261777,1.3333567380905151,0.3393939393939394
4,250,3500,0.0001,1,128,4,GRU,110.07636260986328,0.58,0.294695652173913,335,23.22314453125,0.051972,0.328586157044368,1.288596749305725,0.4303030303030303
4,250,3500,0.0001,1,128,4,xLSTM,1065.8875110149384,0.51,0.18286738351254472,526,23.84814453125,0.092932,2.0264021121957003,0.05268425866961479,1.0
4,250,3500,0.0001,1,128,4,Transformer,2.553492307662964,0.78,0.52,2,75.15283203125,3.427076,1.276746153831482,0.011641994584351778,1.0
4,250,3500,0.0001,1,128,4,BERT,15.996158838272095,0.37,0.14845161290322584,37,105.29345703125,17.343108,0.4323286172505972,1.3771734833717346,0.2878787878787879
4,250,3500,0.0001,1,128,4,GPT,9.204259395599365,0.74,0.5061538461538462,12,56.68603515625,2.240644,0.7670216162999471,1.3908668756484985,0.26666666666666666
4,250,3500,0.001,2,128,0,LSTM,39.22988700866699,0.51,0.18286738351254472,62,25.56689453125,0.20122,0.632740113043016,0.0788227878510952,1.0
4,250,3500,0.001,2,128,0,GRU,38.531784772872925,0.48,0.18376811594202902,59,24.80126953125,0.151044,0.6530810978453038,0.06823895126581192,0.996969696969697
4,250,3500,0.001,2,128,0,xLSTM,37.497458696365356,0.55,0.1701754385964912,14,25.62548828125,0.208532,2.6783899068832397,0.06481580063700676,0.9878787878787879
4,250,3500,0.001,2,128,0,Transformer,9.92903447151184,0.78,0.52,4,128.46923828125,6.847492,2.48225861787796,0.0030900578713044524,1.0
4,250,3500,0.001,2,128,0,BERT,78.9529378414154,0.52,0.20441947565543073,96,123.36572265625,18.527492,0.8224264358480772,0.0803961306810379,0.9787878787878788
4,250,3500,0.001,2,128,0,GPT,63.415562868118286,0.63,0.4391194968553459,42,91.05517578125,4.476676,1.5098943540028162,1.405300259590149,0.2909090909090909
4,250,3500,0.001,2,128,1,LSTM,39.462881326675415,0.51,0.18286738351254472,62,25.56689453125,0.20122,0.6364980859141196,0.08948992192745209,0.996969696969697
