symbols,complexity,sequence_length,learning_rate,layers,units,run,model,train_time,DL,JW,epochs,memory,model_size,time_per_epoch,test_loss,test_accuracy
6,70,3500,0.001,1,128,0,LSTM,20.786930084228516,0.24,0.1747517730496454,66,25.1318359375,0.070406,0.3149534861246745,0.21845972537994385,0.9818181818181818
6,70,3500,0.001,1,128,0,GRU,13.593788623809814,0.58,0.21257575757575753,42,24.8662109375,0.052998,0.32366163390023367,0.9028304219245911,0.6757575757575758
6,70,3500,0.001,1,128,0,xLSTM,30.095014333724976,0.61,0.2006741573033709,15,25.4833984375,0.093446,2.0063342889149984,0.07562195882201195,0.990909090909091
6,70,3500,0.001,1,128,0,Transformer,2.5490000247955322,0.85,0.5555555555555556,2,76.86767578125,3.429126,1.2745000123977661,0.016317015513777733,1.0
6,70,3500,0.001,1,128,0,BERT,5.667679309844971,0.23,0.18645161290322576,13,106.9521484375,17.345158,0.4359753315265362,0.07487063482403755,0.990909090909091
6,70,3500,0.001,1,128,0,GPT,29.139697313308716,0.44,0.19553113553113555,38,58.5947265625,2.242694,0.7668341398239136,0.10340068116784096,0.9727272727272728
6,70,3500,0.001,1,128,1,LSTM,17.243112325668335,0.61,0.223939393939394,54,25.1318359375,0.070406,0.319316894919784,0.7523696422576904,0.7636363636363637
6,70,3500,0.001,1,128,1,GRU,13.857332468032837,0.22,0.1782978723404255,43,24.8662109375,0.052998,0.3222635457682055,0.09205708280205727,1.0
6,70,3500,0.001,1,128,1,xLSTM,31.76348876953125,0.31,0.1991941391941392,16,25.4833984375,0.093446,1.9852180480957031,0.09323153644800186,0.990909090909091
6,70,3500,0.001,1,128,1,Transformer,3.800558567047119,0.86,0.516,3,76.86767578125,3.429126,1.266852855682373,0.00485672103241086,1.0
6,70,3500,0.001,1,128,1,BERT,6.096805095672607,0.45,0.17928315412186369,14,106.9521484375,17.345158,0.4354860782623291,0.07046875916421413,0.9727272727272728
6,70,3500,0.001,1,128,1,GPT,30.65181040763855,0.26,0.17719298245614035,40,58.5947265625,2.242694,0.7662952601909637,0.09320796653628349,0.9818181818181818
6,70,3500,0.001,1,128,2,LSTM,9.127566814422607,0.59,0.2750210970464134,29,25.1982421875,0.070406,0.314743683255952,1.2023386359214783,0.5666666666666667
6,70,3500,0.001,1,128,2,GRU,12.92551589012146,0.22,0.1782978723404255,39,24.8662109375,0.052998,0.33142348436208874,0.09952138364315033,1.0
6,70,3500,0.001,1,128,2,xLSTM,31.823784828186035,0.54,0.20285714285714285,16,25.4833984375,0.093446,1.9889865517616272,0.09066811949014664,0.990909090909091
6,70,3500,0.001,1,128,2,Transformer,2.5498785972595215,0.8,0.5333333333333334,2,76.86767578125,3.429126,1.2749392986297607,0.005755931371822953,1.0
6,70,3500,0.001,1,128,2,BERT,6.530205488204956,0.26,0.20740740740740737,15,106.9521484375,17.345158,0.4353470325469971,0.0776548907160759,0.9727272727272728
6,70,3500,0.001,1,128,2,GPT,23.768810987472534,0.33,0.1991941391941392,31,58.5947265625,2.242694,0.7667358383055656,0.07859532162547112,0.990909090909091
6,70,3500,0.001,1,128,3,LSTM,19.68805742263794,0.22,0.1782978723404255,63,25.1982421875,0.070406,0.31250884797837997,0.09350388497114182,1.0
6,70,3500,0.001,1,128,3,GRU,17.211836099624634,0.64,0.1801449275362318,53,24.9326171875,0.052998,0.32475162452121953,0.3071415275335312,0.9636363636363636
6,70,3500,0.001,1,128,3,xLSTM,32.2111451625824,0.32,0.1900358422939067,16,25.4833984375,0.093446,2.0131965726614,0.06661775335669518,0.9818181818181818
6,70,3500,0.001,1,128,3,Transformer,2.5576651096343994,0.86,0.516,2,76.86767578125,3.429126,1.2788325548171997,0.034435564652085304,1.0
6,70,3500,0.001,1,128,3,BERT,6.093930959701538,0.28,0.19101449275362314,14,106.9521484375,17.345158,0.43528078283582416,0.09301929175853729,0.9757575757575757
6,70,3500,0.001,1,128,3,GPT,28.408004999160767,0.22,0.1782978723404255,37,58.5947265625,2.242694,0.767783918896237,0.07063058391213417,0.990909090909091
6,70,3500,0.001,1,128,4,LSTM,19.166160821914673,0.22,0.1782978723404255,61,25.1982421875,0.070406,0.31419935773630614,0.09371193870902061,1.0
6,70,3500,0.001,1,128,4,GRU,14.456157445907593,0.22,0.1782978723404255,45,24.9326171875,0.052998,0.321247943242391,0.09593881294131279,1.0
6,70,3500,0.001,1,128,4,xLSTM,32.33052611351013,0.45,0.29186147186147193,16,25.4833984375,0.093446,2.0206578820943832,0.09882823005318642,0.9818181818181818
6,70,3500,0.001,1,128,4,Transformer,2.551913022994995,0.8,0.5333333333333334,2,76.86767578125,3.429126,1.2759565114974976,0.0019890550756826997,1.0
6,70,3500,0.001,1,128,4,BERT,6.09535813331604,0.22,0.1782978723404255,14,106.9521484375,17.345158,0.4353827238082886,0.04535605385899544,1.0
6,70,3500,0.001,1,128,4,GPT,26.057323455810547,0.22,0.1782978723404255,34,58.5947265625,2.242694,0.766391866347369,0.074554692953825,0.990909090909091
6,70,3500,0.0001,1,128,0,LSTM,31.5090491771698,0.75,0.4501587301587301,101,25.1982421875,0.070406,0.31197078393237426,1.4088157415390015,0.4
6,70,3500,0.0001,1,128,0,GRU,53.13648438453674,0.56,0.27454545454545454,165,24.8662109375,0.052998,0.3220392993002227,1.0943379402160645,0.5878787878787879
6,70,3500,0.0001,1,128,0,xLSTM,179.08032202720642,0.46,0.29999999999999993,91,25.4833984375,0.093446,1.9679156266725981,0.09943317994475365,0.990909090909091
6,70,3500,0.0001,1,128,0,Transformer,2.5492796897888184,0.84,0.5476190476190477,2,76.86767578125,3.429126,1.2746398448944092,0.015340517275035381,1.0
6,70,3500,0.0001,1,128,0,BERT,18.243549823760986,0.25,0.1701754385964912,42,106.9521484375,17.345158,0.4343702338990711,0.09579095616936684,0.990909090909091
6,70,3500,0.0001,1,128,0,GPT,32.13651466369629,0.22,0.1782978723404255,42,58.5947265625,2.242694,0.7651551110403878,0.08746975660324097,0.990909090909091
6,70,3500,0.0001,1,128,1,LSTM,74.62266373634338,0.67,0.275,238,25.1318359375,0.070406,0.3135406039342159,0.6092150807380676,0.7909090909090909
6,70,3500,0.0001,1,128,1,GRU,67.38565468788147,0.61,0.24987951807228914,210,24.8662109375,0.052998,0.32088406994229274,0.8946537375450134,0.6878787878787879
6,70,3500,0.0001,1,128,1,xLSTM,194.81475830078125,0.24,0.1853900709219859,99,25.4833984375,0.093446,1.9678258414220329,0.09759802371263504,0.990909090909091
6,70,3500,0.0001,1,128,1,Transformer,2.5489113330841064,0.8,0.5333333333333334,2,76.86767578125,3.429126,1.2744556665420532,0.020488516427576542,1.0
6,70,3500,0.0001,1,128,1,BERT,19.110063552856445,0.23,0.1701754385964912,44,106.9521484375,17.345158,0.43431962620128284,0.0960431918501854,0.990909090909091
6,70,3500,0.0001,1,128,1,GPT,31.599298000335693,0.22,0.1782978723404255,41,58.5283203125,2.242694,0.7707145853740412,0.08950086310505867,1.0
6,70,3500,0.0001,1,128,2,LSTM,67.7882182598114,0.62,0.20441947565543073,217,25.1318359375,0.070406,0.31238810257977606,0.7956950664520264,0.6757575757575758
6,70,3500,0.0001,1,128,2,GRU,146.35842442512512,0.58,0.23151515151515145,454,24.8662109375,0.052998,0.32237538419631084,0.5516977310180664,0.8242424242424242
6,70,3500,0.0001,1,128,2,xLSTM,180.77506709098816,0.22,0.1782978723404255,91,25.4833984375,0.093446,1.9865391988020678,0.09367963671684265,1.0
6,70,3500,0.0001,1,128,2,Transformer,2.549593448638916,0.84,0.5555555555555556,2,76.86767578125,3.429126,1.274796724319458,0.016638253815472126,1.0
6,70,3500,0.0001,1,128,2,BERT,19.98707342147827,0.25,0.16666666666666663,46,106.9521484375,17.345158,0.43450159611909284,0.09639595821499825,0.9818181818181818
6,70,3500,0.0001,1,128,2,GPT,33.71742868423462,0.52,0.20816479400749055,44,58.5947265625,2.242694,0.7663051973689686,0.09471216425299644,0.990909090909091
6,70,3500,0.0001,1,128,3,LSTM,19.913957357406616,0.68,0.3806779661016949,63,25.1318359375,0.070406,0.31609456122867646,1.6579415202140808,0.3242424242424242
6,70,3500,0.0001,1,128,3,GRU,72.64103841781616,0.69,0.22459770114942534,226,24.8662109375,0.052998,0.3214205239726379,0.7843388915061951,0.7303030303030303
6,70,3500,0.0001,1,128,3,xLSTM,182.87270069122314,0.55,0.19553113553113555,92,25.4833984375,0.093446,1.9877467466437297,0.09925012290477753,0.9818181818181818
6,70,3500,0.0001,1,128,3,Transformer,2.5522637367248535,0.81,0.5503030303030303,2,76.86767578125,3.429126,1.2761318683624268,0.013274572789669037,1.0
6,70,3500,0.0001,1,128,3,BERT,17.807160139083862,0.25,0.1701754385964912,41,106.9521484375,17.345158,0.4343209790020454,0.07516875490546227,0.990909090909091
6,70,3500,0.0001,1,128,3,GPT,39.10302424430847,0.41,0.2119101123595506,51,58.5947265625,2.242694,0.7667259655746759,0.09662634506821632,0.990909090909091
6,70,3500,0.0001,1,128,4,LSTM,53.80423593521118,0.59,0.16208333333333336,171,25.1318359375,0.070406,0.31464465459187824,0.8098703920841217,0.6727272727272727
6,70,3500,0.0001,1,128,4,GRU,34.6169867515564,0.65,0.2876923076923076,108,24.8662109375,0.052998,0.32052765510700365,1.1906344890594482,0.5848484848484848
6,70,3500,0.0001,1,128,4,xLSTM,182.16303634643555,0.22,0.1782978723404255,92,25.4833984375,0.093446,1.9800330037656038,0.0935993567109108,1.0
6,70,3500,0.0001,1,128,4,Transformer,2.5496013164520264,0.85,0.548395061728395,2,76.86767578125,3.429126,1.2748006582260132,0.026654026471078396,1.0
6,70,3500,0.0001,1,128,4,BERT,17.380361080169678,0.23,0.1782978723404255,40,106.9521484375,17.345158,0.43450902700424193,0.07927512750029564,0.990909090909091
6,70,3500,0.0001,1,128,4,GPT,36.24472999572754,0.3,0.21565543071161042,47,58.5283203125,2.242694,0.7711644679942029,0.10049813613295555,0.990909090909091
6,70,3500,0.001,2,128,0,LSTM,18.332399368286133,0.22,0.1782978723404255,29,27.1474609375,0.202502,0.6321517023546942,0.08967716619372368,1.0
6,70,3500,0.001,2,128,0,GRU,12.863947629928589,0.22,0.1782978723404255,20,26.3779296875,0.15207,0.6431973814964295,0.0844511054456234,1.0
6,70,3500,0.001,2,128,0,xLSTM,10.484296083450317,0.4,0.18739130434782603,4,27.2607421875,0.209046,2.6210740208625793,0.09370487928390503,0.9818181818181818
6,70,3500,0.001,2,128,0,Transformer,9.910811185836792,0.86,0.516,4,129.80908203125,6.849542,2.477702796459198,0.036911025643348694,1.0
6,70,3500,0.001,2,128,0,BERT,12.362709760665894,0.26,0.18645161290322576,15,125.0244140625,18.529542,0.8241806507110596,0.05249638669192791,0.990909090909091
6,70,3500,0.001,2,128,0,GPT,33.23086333274841,0.29,0.16208333333333336,22,92.7138671875,4.478726,1.5104937878522007,0.10156225040555,0.9727272727272728
6,70,3500,0.001,2,128,1,LSTM,18.908107042312622,0.22,0.1782978723404255,30,27.2138671875,0.202502,0.6302702347437541,0.09683576971292496,1.0
6,70,3500,0.001,2,128,1,GRU,12.882061004638672,0.22,0.1782978723404255,20,26.4443359375,0.15207,0.6441030502319336,0.09393047541379929,1.0
