symbols,complexity,sequence_length,learning_rate,layers,units,run,model,train_time,DL,JW,epochs,memory,model_size,time_per_epoch,test_loss,test_accuracy
2,150,3500,0.001,1,128,0,LSTM,23.705480813980103,0.29,0.12041666666666673,75,19.89306640625,0.067842,0.3160730775197347,0.6513632237911224,0.6242424242424243
2,150,3500,0.001,1,128,0,GRU,13.954065322875977,0.29,0.15198501872659176,43,19.63525390625,0.050946,0.3245131470436274,0.6921923756599426,0.5181818181818182
2,150,3500,0.001,1,128,0,xLSTM,45.765849351882935,0.28,0.15947565543071163,23,20.26806640625,0.092418,1.9898195370383884,0.6913450956344604,0.5303030303030303
2,150,3500,0.001,1,128,0,Transformer,1.298698902130127,0.44,0.29251461988304095,1,71.49267578125,3.425026,1.298698902130127,0.001405832590535283,1.0
2,150,3500,0.001,1,128,0,BERT,9.565590858459473,0.13,0.15947565543071163,22,101.68994140625,17.341058,0.4347995844754306,0.6947817206382751,0.5151515151515151
2,150,3500,0.001,1,128,0,GPT,15.523960828781128,0.31,0.11897872340425542,20,53.26611328125,2.238594,0.7761980414390564,0.6900573074817657,0.5393939393939394
2,150,3500,0.001,1,128,1,LSTM,27.50259780883789,0.31,0.11897872340425542,87,19.89306640625,0.067842,0.3161218138946884,0.688135951757431,0.5393939393939394
2,150,3500,0.001,1,128,1,GRU,35.50774383544922,0.31,0.1557303370786517,109,19.63525390625,0.050946,0.32575911775641486,0.5208212733268738,0.7121212121212122
2,150,3500,0.001,1,128,1,xLSTM,198.265118598938,0.3,0.06357575757575762,97,20.26806640625,0.092418,2.0439702948344123,0.07137590274214745,0.9727272727272728
2,150,3500,0.001,1,128,1,Transformer,12.552036046981812,0.44,0.29333333333333333,10,71.49267578125,3.425026,1.2552036046981812,0.022257034666836262,1.0
2,150,3500,0.001,1,128,1,BERT,18.250556468963623,0.19,0.14791208791208776,42,101.68994140625,17.341058,0.43453705878484816,0.695708155632019,0.5151515151515151
2,150,3500,0.001,1,128,1,GPT,22.243176460266113,0.31,0.11897872340425542,29,53.33251953125,2.238594,0.7670060848367626,0.689283937215805,0.5393939393939394
2,150,3500,0.001,1,128,2,LSTM,28.659607887268066,0.28,0.10857142857142854,89,19.95947265625,0.067842,0.3220180661490794,0.6387435793876648,0.6151515151515151
2,150,3500,0.001,1,128,2,GRU,21.787827253341675,0.27,0.203095890410959,66,19.63525390625,0.050946,0.33011859474760114,0.6953349709510803,0.5272727272727272
2,150,3500,0.001,1,128,2,xLSTM,171.77734899520874,0.3,0.09222680412371143,85,20.26806640625,0.092418,2.0209099881789263,0.052007876336574554,0.9848484848484849
2,150,3500,0.001,1,128,2,Transformer,2.552217483520508,0.44,0.29251461988304095,2,71.49267578125,3.425026,1.276108741760254,0.010813068132847548,1.0
2,150,3500,0.001,1,128,2,BERT,47.77424907684326,0.33,0.09084175084175083,110,101.68994140625,17.341058,0.43431135524402964,0.561086505651474,0.6878787878787879
2,150,3500,0.001,1,128,2,GPT,16.10961675643921,0.44,0.29333333333333333,21,53.33251953125,2.238594,0.7671246074494862,0.6916099488735199,0.5151515151515151
