,test_loss,test_loss,test_loss,test_accuracy,test_accuracy,test_accuracy,DL,DL,DL,JW,JW,JW,train_time,train_time,train_time,time_per_epoch,time_per_epoch,time_per_epoch,memory_mb,memory_mb,memory_mb,model_size_m,model_size_m,model_size_m
,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std
model,,,,,,,,,,,,,,,,,,,,,,,,
LSTM,0.04796,0.0995,0.17343,1.0,0.98,0.07472,0.0,0.029,0.10262,0.0,0.01044,0.04099,74.55739,75.60042,43.45159,1.14284,1.11948,0.05152,213.12817,213.28745,3.1829,0.20186,0.20186,0.00144
GRU,0.04654,0.0481,0.01141,1.0,0.9989,0.00544,0.0,0.006,0.02519,0.0,0.00155,0.00706,47.58699,50.65164,32.29238,1.11198,1.1143,0.0246,187.30249,187.46177,3.17961,0.15156,0.15156,0.00115
minGRU,0.04799,0.14118,0.20255,1.0,0.94193,0.12902,0.0,0.0635,0.12784,0.0,0.0253,0.05646,6.30322,8.31703,6.84317,0.10587,0.10621,0.00582,196.03955,195.92737,2.90086,0.0672,0.0672,0.00058
minLSTM,0.04691,0.14177,0.204,1.0,0.93886,0.1333,0.0,0.06275,0.12315,0.0,0.02335,0.04804,114.08713,181.55239,166.93979,2.78383,2.81268,0.2265,130.47534,130.6597,3.20677,0.10074,0.10074,0.00058
Transformer,0.03036,0.13847,0.24695,1.0,0.91822,0.17422,0.0,0.08338,0.16738,0.0,0.04567,0.09853,19.82945,24.3819,15.75786,1.5352,1.54073,0.02327,1313.00586,1312.74471,3.38035,3.69024,3.69024,0.00115
LinearAttention,0.01362,0.017,0.01477,1.0,0.99867,0.0035,0.0,0.00325,0.01833,0.0,0.00075,0.00313,8.87688,12.60988,10.06254,1.26768,1.28543,0.12166,2407.23511,2407.43431,3.23428,1.5808,1.5808,0.00115
Performer,0.04005,0.28389,0.37208,1.0,0.88273,0.16611,0.0,0.13212,0.18717,0.0,0.04899,0.07838,87.77948,87.26654,55.42062,6.28026,6.70889,0.9679,3782.05371,3782.08655,3.09592,1.58234,1.58234,0.00115
RWKV,0.02944,0.0449,0.09531,1.0,0.98371,0.05785,0.0,0.0845,0.13598,0.0,0.02591,0.04151,10.98991,40.04346,67.1687,1.68187,1.80992,0.35834,656.21729,656.16541,2.93582,1.5849,1.5849,0.00115
