track,model,alphabets,DL_mean,DL_std,test_loss_mean,test_loss_std
Fixed budget,LSTM,4;8,0.03,0.0848528137423857,0.11483898836498456,0.13120487748370877
Matched size,LSTM,4;8,0.0,0.0,0.05624338813746965,0.013720964353982427
Fixed budget,GRU,4;8,0.0,0.0,0.05492708304276066,0.014714887644968842
Matched size,GRU,4;8,0.0,0.0,0.04710186040028924,0.002545601395714372
Fixed budget,Transformer,4;8,0.02375,0.03248626083219094,0.032456617879991684,0.008480542499868154
Matched size,Transformer,4;8,0.005,0.014142135623730952,0.040432830651601095,0.010427382381662326
Fixed budget,LinearAttention,4;8,0.0,0.0,0.023194500012323198,0.008054245475550437
Matched size,LinearAttention,4;8,0.0,0.0,0.031054944808905274,0.009711626460894988
Fixed budget,Performer,4;8,0.1625,0.22707770853671597,0.37299699902844924,0.46908181070530575
Matched size,Performer,4;8,0.0,0.0,0.0357694978980968,0.011314015543024882
Fixed budget,RWKV,4;8,0.1,0.19427520980005952,0.03386955712145809,0.013292024711834154
Matched size,RWKV,4;8,0.13375,0.19668230365599385,0.038742296009634886,0.005540263240107674
