model,symbols,layers,matched_target_size_m,units,d_model,model_params,model_size_m,matched_param_abs_error_m,matched_param_rel_error
LSTM,4,2,0.2,128,0,201220,0.20122,0.0012199999999999989,0.006099999999999994
GRU,4,2,0.2,160,0,234884,0.234884,0.034884,0.17442
Transformer,4,2,0.2,256,64,234308,0.234308,0.03430799999999998,0.1715399999999999
LinearAttention,4,2,0.2,384,96,223972,0.223972,0.023971999999999993,0.11985999999999997
Performer,4,2,0.2,320,80,187412,0.187412,0.012588000000000016,0.06294000000000008
RWKV,4,2,0.2,384,96,225508,0.225508,0.025507999999999975,0.12753999999999988
LSTM,8,2,0.2,128,0,203784,0.203784,0.003783999999999982,0.01891999999999991
GRU,8,2,0.2,160,0,237448,0.237448,0.03744799999999998,0.1872399999999999
Transformer,8,2,0.2,256,64,234824,0.234824,0.034823999999999994,0.17411999999999997
LinearAttention,8,2,0.2,384,96,224744,0.224744,0.024743999999999988,0.12371999999999994
Performer,8,2,0.2,320,80,188056,0.188056,0.01194400000000001,0.05972000000000005
RWKV,8,2,0.2,384,96,226280,0.22628,0.026279999999999998,0.1314
