config_index,experiment,model,symbols,complexity,seed_index,seed_string,target_string,sequence_length,window_size,forecast_horizon,layers,units,d_model,matched_target_size_m,matched_param_abs_error_m,matched_param_rel_error,optimizer,learning_rate,weight_decay,batch_size,run,model_params,model_size_m,train_time,epochs,time_per_epoch,memory_mb,test_loss,test_accuracy,DL,JW,forecast
0,matched_size_high_complexity,LSTM,4,90,0,BCDAADBCBDCCBDDCCBACBCAABCAACAABBDCBBDDADDCCABDAAAACBBBCAAAAADBBCDBBCAAADDAAADDBACBDDBCADBADCBCBDADDDACABCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAABC,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA,3500,100,100,2,128,0,0.2,0.0012199999999999,0.0060999999999999,AdamW,0.0003,0.01,128,0,201220,0.20122,96.30789875984192,90,1.0700877639982436,211.8134765625,0.0482497364282608,1.0,0.0,0.0,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA
1,matched_size_high_complexity,LSTM,4,90,0,BCDAADBCBDCCBDDCCBACBCAABCAACAABBDCBBDDADDCCABDAAAACBBBCAAAAADBBCDBBCAAADDAAADDBACBDDBCADBADCBCBDADDDACABCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAABC,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA,3500,100,100,2,128,0,0.2,0.0012199999999999,0.0060999999999999,AdamW,0.0003,0.01,128,1,201220,0.20122,91.70551466941832,85,1.07888840787551,211.8134765625,0.0472205964227517,1.0,0.0,0.0,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA
2,matched_size_high_complexity,GRU,4,90,0,BCDAADBCBDCCBDDCCBACBCAABCAACAABBDCBBDDADDCCABDAAAACBBBCAAAAADBBCDBBCAAADDAAADDBACBDDBCADBADCBCBDADDDACABCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAABC,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA,3500,100,100,2,160,0,0.2,0.034884,0.17442,AdamW,0.0003,0.01,128,0,234884,0.234884,70.81987643241882,64,1.106560569256544,227.671875,0.0487731968363126,1.0,0.0,0.0,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA
3,matched_size_high_complexity,GRU,4,90,0,BCDAADBCBDCCBDDCCBACBCAABCAACAABBDCBBDDADDCCABDAAAACBBBCAAAAADBBCDBBCAAADDAAADDBACBDDBCADBADCBCBDADDDACABCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAABC,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA,3500,100,100,2,160,0,0.2,0.034884,0.17442,AdamW,0.0003,0.01,128,1,234884,0.234884,65.21350932121277,57,1.1440966547581188,227.671875,0.0502236125369866,1.0,0.0,0.0,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA
4,matched_size_high_complexity,Transformer,4,90,0,BCDAADBCBDCCBDDCCBACBCAABCAACAABBDCBBDDADDCCABDAAAACBBBCAAAAADBBCDBBCAAADDAAADDBACBDDBCADBADCBCBDADDDACABCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAABC,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA,3500,100,100,2,256,64,0.2,0.0343079999999999,0.1715399999999999,AdamW,0.0003,0.01,128,0,234308,0.234308,13.65937852859497,30,0.4553126176198324,333.14404296875,0.0396835878491401,0.993939393939394,0.0,0.0,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA
5,matched_size_high_complexity,Transformer,4,90,0,BCDAADBCBDCCBDDCCBACBCAABCAACAABBDCBBDDADDCCABDAAAACBBBCAAAAADBBCDBBCAAADDAAADDBACBDDBCADBADCBCBDADDDACABCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAABC,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA,3500,100,100,2,256,64,0.2,0.0343079999999999,0.1715399999999999,AdamW,0.0003,0.01,128,1,234308,0.234308,15.43563675880432,34,0.4539893164354212,333.14404296875,0.0513857702414194,0.993939393939394,0.0,0.0,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA
6,matched_size_high_complexity,LinearAttention,4,90,0,BCDAADBCBDCCBDDCCBACBCAABCAACAABBDCBBDDADDCCABDAAAACBBBCAAAAADBBCDBBCAAADDAAADDBACBDDBCADBADCBCBDADDDACABCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAABC,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA,3500,100,100,2,384,96,0.2,0.0239719999999999,0.1198599999999999,AdamW,0.0003,0.01,128,0,223972,0.223972,8.479275226593018,24,0.3533031344413757,443.08984375,0.0273813158273696,1.0,0.0,0.0,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA
7,matched_size_high_complexity,LinearAttention,4,90,0,BCDAADBCBDCCBDDCCBACBCAABCAACAABBDCBBDDADDCCABDAAAACBBBCAAAAADBBCDBBCAAADDAAADDBACBDDBCADBADCBCBDADDDACABCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAABC,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA,3500,100,100,2,384,96,0.2,0.0239719999999999,0.1198599999999999,AdamW,0.0003,0.01,128,1,223972,0.223972,8.905508279800415,23,0.3871960121652354,443.08984375,0.0194836022953192,1.0,0.0,0.0,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA
8,matched_size_high_complexity,Performer,4,90,0,BCDAADBCBDCCBDDCCBACBCAABCAACAABBDCBBDDADDCCABDAAAACBBBCAAAAADBBCDBBCAAADDAAADDBACBDDBCADBADCBCBDADDDACABCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAABC,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA,3500,100,100,2,320,80,0.2,0.012588,0.06294,AdamW,0.0003,0.01,128,0,187412,0.187412,97.3900547027588,15,6.4926703135172525,952.91552734375,0.0441866281131903,1.0,0.0,0.0,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA
9,matched_size_high_complexity,Performer,4,90,0,BCDAADBCBDCCBDDCCBACBCAABCAACAABBDCBBDDADDCCABDAAAACBBBCAAAAADBBCDBBCAAADDAAADDBACBDDBCADBADCBCBDADDDACABCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAABC,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA,3500,100,100,2,320,80,0.2,0.012588,0.06294,AdamW,0.0003,0.01,128,1,187412,0.187412,154.0184280872345,26,5.923785695662866,952.91552734375,0.0217198977867762,1.0,0.0,0.0,BCDDDCCDCAACADDDCACACCBCBCBCDDDDAABCBACBCCDDDADCDACCACCBDDDBABACBDCAABBCDADBBCDAADCDDDDACDCDABDDCAAA
